what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534456853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411534479352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1411534496103
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411534524530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534527716
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1411534539535
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1411534539538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534540388
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1411534540413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1411534540413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534540709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534545340
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411534559363
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411534559672
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411534565854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534592527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534608860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534623613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534664320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534667955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534675200
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411534676242
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411534676381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534676523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411534681335
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1411535211838
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411535329261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535333944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535341416
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411535342506
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411535342664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535342781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411535347730
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411535351022
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411535352027
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1411535356096
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1411535356678
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1411535357290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1411535358700
